activity_uuid_product_uuid,activity_name,geography,reference_product_name,unit
dabb3812-eee9-5d2b-bc23-0f9a38e6f71e_bded6c5a-4dca-497e-bdd9-fcd343012087,"bark chips, wet, measured as dry mass to generic market for residual hardwood, wet",CH,"residual hardwood, wet",m3
3b34f2a3-abfb-5681-ac78-60c8fada5b16_61c1d37e-ad50-4159-b379-cfe3976720bf,market for nitrous oxide,GLO,nitrous oxide,kg
3a2ab192-109a-5fa4-b9d9-7ed5421ce5c6_dfaef357-a79e-4846-aabc-848b1ab59fbb,"market for sawdust, wet, measured as dry mass",CH,"sawdust, wet, measured as dry mass",kg
16e0e4f7-a44f-55d5-ae85-b2a614f42095_d5d05133-2092-451a-b9fa-c782a6ce3786,"market for sewage sludge, 70% water, WWT, WW from maize starch production",CH,"sewage sludge, 70% water, WWT, WW from maize starch production",kg
732c6740-c4fb-598d-89a0-f8d0a443913f_0d84cdfe-bcf2-4821-8f34-d93b9f611c11,phenolic resin production,RER,phenolic resin,kg
32ab1519-ba6d-5432-9c5d-c82d26d1564a_618cf05a-8af0-4638-b40d-5a5d15ca971e,"treatment of sewage sludge, 97% water, WWT, WW from ammonium paratungstate production, landfarming",CN,"sewage sludge, 97% water, WWT, WW from ammonium paratungstate production",kg
d08ed49a-25fd-5766-bafc-3cb505dac2e8_66c93e71-f32b-4591-901c-55395db5c132,"heat and power co-generation, natural gas, conventional power plant, 100MW electrical",US-WECC,"electricity, high voltage",kWh
6632b6ca-fdb9-5d16-a1b1-599bb8bff19b_60e40c5e-8a0e-52f7-8c7f-2664ac536903,"treatment of sewage sludge, 97% water, WWT, rainwater mineral oil storage, landfarming",Europe without Switzerland,"organic nitrogen fertiliser, as N",kg
a73e89c1-abd9-54a1-8c44-17547de7e7ef_f1efe0d9-811f-4bf7-af7b-81aff81f5568,"catch crop growing, ryegrass, September-April, organic fertiliser 40 kg N, one cut",CH,ryegrass silage,kg
da6fd7f1-4ee6-5491-81a9-2e42ce8968dd_f6ba241a-2732-47fb-bff3-ca4a3e30faa3,"nuclear fuel element production, for pressure water reactor, UO2 3.8% & MOX",RoW,"nuclear fuel element, for pressure water reactor, UO2 3.8% & MOX",kg
59abf99d-3a33-5d9c-a8d7-a2fc6b146250_3103a12f-4541-4c57-88e1-79d331927a66,"battery cell production, Li-ion, LiMn2O4",RoW,"battery cell, Li-ion, LiMn2O4",kg
25bb2c21-f6f5-58e1-b110-9025bfb6a70f_aa0d7c65-0f57-49ed-a01e-01f2b4bc4ac4,"impact extrusion of aluminium, 4 strokes",RER,"impact extrusion of aluminium, 4 strokes",kg
7bc57d51-d238-5ed5-970d-d8e6f2d47dc1_66c93e71-f32b-4591-901c-55395db5c132,"electricity, high voltage, production mix",BN,"electricity, high voltage",kWh
a25fd054-f122-5de8-864c-d431bdf452b9_66c93e71-f32b-4591-901c-55395db5c132,"electricity production, wind, 1-3MW turbine, onshore",CN-SC,"electricity, high voltage",kWh
c6588bbf-2571-50e5-b3fb-c187d3ceb09b_bd9f3f8b-c561-4604-b683-4e53f704bd02,oxidation of butane,RoW,methyl acetate,kg
0d5b2bcc-f4cd-5c9f-b39e-52407016c78b_71e2f1db-a2c5-44d0-8337-dfff15be974d,"heat and power co-generation, lignite",SI,"heat, district or industrial, other than natural gas",MJ
37692790-c50b-5967-9e40-57d50862e6ba_42baed81-24d1-4aed-a120-cc7d35ddac10,market for waste paperboard,IT,waste paperboard,kg
00299986-0b1a-5f9c-b1c7-a919ac63f737_d4ee8f39-342b-4443-bbb9-c49b6801b5d6,concrete block production,RoW,concrete block,kg
5ce73ef2-3846-5a51-bd31-812805640425_66c93e71-f32b-4591-901c-55395db5c132,"heat and power co-generation, hard coal",TR,"electricity, high voltage",kWh
7dff266a-227e-5b61-b4b5-89b6d3c319c1_5321a299-0c03-4bfc-9dda-d020456f6b2e,nutrient supply from ammonium nitrate phosphate,CN,"inorganic phosphorus fertiliser, as P2O5",kg
f4fc142e-1a69-5bcd-9cbf-820ab64855c3_66c93e71-f32b-4591-901c-55395db5c132,"electricity production, hard coal",US-MRO,"electricity, high voltage",kWh
ad20db3a-415e-5e39-b222-854caf996375_03cc9df9-29e5-4ee0-8bff-a70999caffbf,"tomato production, processing grade, open field",IT,"tomato, processing grade",kg
