ep_id,country,main_activity,clustered,activity_uuid_product_uuid,multi_match,completion,category
0b0ae0f9eb119090c2ff57778f605898e5854f01,germany,service provider,air purifiers,bcdcd9f2-a3d9-58a3-b204-c6fa665a8e49_1d8da2ef-019e-4fc8-9e15-11bd37949f61,TRUE,low,ep_product
0b0ae0f9eb119090c2ff57778f605898e5854f01,germany,service provider,air purifiers,68a453fd-c49c-5358-9ee6-553b70ff43a8_1d8da2ef-019e-4fc8-9e15-11bd37949f61,TRUE,low,ep_product
0dde317dd17ad7169b1590b4f49a0ab99d4b7ee8,france,missing,aircraft engines,d7739cef-e1e3-5084-974f-f5f139975486_8eea8087-3f23-44e6-8acf-c15f2f21a528,TRUE,high,ep_product
0dde317dd17ad7169b1590b4f49a0ab99d4b7ee8,france,missing,aircraft engines,b2559f83-c1b9-51a9-a232-bc4d56729e0c_8eea8087-3f23-44e6-8acf-c15f2f21a528,TRUE,high,ep_product
0dde317dd17ad7169b1590b4f49a0ab99d4b7ee8,germany,missing,aircraft engines,d7739cef-e1e3-5084-974f-f5f139975486_8eea8087-3f23-44e6-8acf-c15f2f21a528,TRUE,high,ep_product
0dde317dd17ad7169b1590b4f49a0ab99d4b7ee8,germany,missing,aircraft engines,b2559f83-c1b9-51a9-a232-bc4d56729e0c_8eea8087-3f23-44e6-8acf-c15f2f21a528,TRUE,high,ep_product
0dde317dd17ad7169b1590b4f49a0ab99d4b7ee8,germany,service provider,aircraft engines,d7739cef-e1e3-5084-974f-f5f139975486_8eea8087-3f23-44e6-8acf-c15f2f21a528,TRUE,high,ep_product
0dde317dd17ad7169b1590b4f49a0ab99d4b7ee8,germany,service provider,aircraft engines,b2559f83-c1b9-51a9-a232-bc4d56729e0c_8eea8087-3f23-44e6-8acf-c15f2f21a528,TRUE,high,ep_product
f622bd01b566340cc2937214c63c9718ac9b3c90,france,service provider,aircraft maintenance,39ff049a-3abf-51e6-a7dc-051deb77a79c_6808a91f-0322-406b-a4cf-41473f5a5ca8,TRUE,low,ep_product
f622bd01b566340cc2937214c63c9718ac9b3c90,france,service provider,aircraft maintenance,1c0ee497-bffd-55f5-99d7-4f0519f9fe65_6808a91f-0322-406b-a4cf-41473f5a5ca8,TRUE,low,ep_product
ea7b4b310ecd72f1f4cc397f80aaa6ad71dc4448,germany,missing,aircraft wheels,2aa751a2-d49f-580c-ba06-4c0435f9e823_722a1080-c48c-43ae-8666-53eb9e8c8c73,TRUE,low,ep_product
ea7b4b310ecd72f1f4cc397f80aaa6ad71dc4448,germany,missing,aircraft wheels,07feeb34-0c95-5226-bfef-0be156b150f7_722a1080-c48c-43ae-8666-53eb9e8c8c73,TRUE,low,ep_product
bc414039588eade991eae6c1be86c26e78849326,france,service provider,airless pumps,905e7e57-16ee-53c5-8d35-1a9d53fb3470_c5a44929-73b7-4ee2-a5da-7806cc094d77,FALSE,low,ep_product
efa553d8c0402b9ffef4d59153eb9d861ffa43ca,austria,service provider,alarm system,3d731062-1960-5a36-bd19-6ab2b0bf67c2_245732f4-a5ce-4881-816b-a207ba8df4c8,TRUE,low,ep_product
efa553d8c0402b9ffef4d59153eb9d861ffa43ca,austria,service provider,alarm system,3b11f419-2204-5b7c-8cf5-70650f0555ca_245732f4-a5ce-4881-816b-a207ba8df4c8,TRUE,low,ep_product
efa553d8c0402b9ffef4d59153eb9d861ffa43ca,france,missing,alarm system,3d731062-1960-5a36-bd19-6ab2b0bf67c2_245732f4-a5ce-4881-816b-a207ba8df4c8,TRUE,low,ep_product
efa553d8c0402b9ffef4d59153eb9d861ffa43ca,france,missing,alarm system,3b11f419-2204-5b7c-8cf5-70650f0555ca_245732f4-a5ce-4881-816b-a207ba8df4c8,TRUE,low,ep_product
efa553d8c0402b9ffef4d59153eb9d861ffa43ca,france,multi-category,alarm system,3d731062-1960-5a36-bd19-6ab2b0bf67c2_245732f4-a5ce-4881-816b-a207ba8df4c8,TRUE,low,ep_product
efa553d8c0402b9ffef4d59153eb9d861ffa43ca,france,multi-category,alarm system,3b11f419-2204-5b7c-8cf5-70650f0555ca_245732f4-a5ce-4881-816b-a207ba8df4c8,TRUE,low,ep_product
efa553d8c0402b9ffef4d59153eb9d861ffa43ca,france,service provider,alarm system,3d731062-1960-5a36-bd19-6ab2b0bf67c2_245732f4-a5ce-4881-816b-a207ba8df4c8,TRUE,low,ep_product
efa553d8c0402b9ffef4d59153eb9d861ffa43ca,france,service provider,alarm system,3b11f419-2204-5b7c-8cf5-70650f0555ca_245732f4-a5ce-4881-816b-a207ba8df4c8,TRUE,low,ep_product
efa553d8c0402b9ffef4d59153eb9d861ffa43ca,germany,missing,alarm system,3d731062-1960-5a36-bd19-6ab2b0bf67c2_245732f4-a5ce-4881-816b-a207ba8df4c8,TRUE,low,ep_product
efa553d8c0402b9ffef4d59153eb9d861ffa43ca,germany,missing,alarm system,3b11f419-2204-5b7c-8cf5-70650f0555ca_245732f4-a5ce-4881-816b-a207ba8df4c8,TRUE,low,ep_product
efa553d8c0402b9ffef4d59153eb9d861ffa43ca,germany,service provider,alarm system,3d731062-1960-5a36-bd19-6ab2b0bf67c2_245732f4-a5ce-4881-816b-a207ba8df4c8,TRUE,low,ep_product
