scenario,region,sector,subsector,year,value,reductions,type
1.5c rps,world,power,NA,2030,5359.18,0.58,ipr
1.5c rps,world,power,NA,2050,-807.13,1.06,ipr
1.5c rps,world,buildings,NA,2030,2454.21,0.18,ipr
1.5c rps,world,buildings,NA,2050,61.3,0.98,ipr
1.5c rps,world,industry,iron and steel,2030,1871.82,0.23,ipr
1.5c rps,world,industry,iron and steel,2050,88.29,0.96,ipr
1.5c rps,world,industry,non-metallic minerals,2030,2641.47,0.13,ipr
1.5c rps,world,industry,non-metallic minerals,2050,591.81,0.8,ipr
1.5c rps,world,industry,chemicals,2030,1217.95,0.12,ipr
1.5c rps,world,industry,chemicals,2050,101.76,0.93,ipr
1.5c rps,world,industry,other industry,2030,1747.64,0.09,ipr
1.5c rps,world,industry,other industry,2050,92,0.95,ipr
1.5c rps,world,transport,cars,2030,2341.53,0.15,ipr
1.5c rps,world,transport,cars,2050,24.95,0.99,ipr
1.5c rps,world,transport,trucks,2030,2087.33,-0.14,ipr
1.5c rps,world,transport,trucks,2050,33.09,0.98,ipr
1.5c rps,world,transport,aviation,2030,1211.47,-0.85,ipr
1.5c rps,world,transport,aviation,2050,362.59,0.45,ipr
1.5c rps,world,transport,shipping,2030,1042.77,-0.29,ipr
1.5c rps,world,transport,shipping,2050,223.51,0.72,ipr
1.5c rps,world,transport,other transport,2030,993.91,0.22,ipr
1.5c rps,world,transport,other transport,2050,96.94,0.92,ipr
1.5c rps,world,other energy,NA,2030,2742.62,0.06,ipr
1.5c rps,world,other energy,NA,2050,699.21,0.76,ipr
1.5c rps,world,total,energy,2030,25711.9,0.26,ipr
1.5c rps,world,total,energy,2050,1568.33,0.95,ipr
1.5c rps,world,NA,land use,2030,2250,0.62,ipr
1.5c rps,world,NA,land use,2050,-1870,1.32,ipr
stated policies scenario,world,total,biofuels production and direct air capture,2020,0.81,0,weo
announced pledges scenario,world,total,biofuels production and direct air capture,2020,0.81,0,weo
net zero emissions by 2050 scenario,world,total,biofuels production and direct air capture,2020,0.81,0,weo
stated policies scenario,world,total,biofuels production and direct air capture,2030,8.74,-9.790123457,weo
stated policies scenario,world,coal,total energy supply,2020,14335.2,0,weo
stated policies scenario,world,coal,total energy supply,2030,13695,0.0446593,weo
stated policies scenario,world,coal,total energy supply,2040,11553.4,0.194053798,weo
stated policies scenario,world,coal,total energy supply,2050,9863.04,0.311970534,weo
stated policies scenario,world,oil,total energy supply,2020,10193.7,0,weo
stated policies scenario,world,oil,total energy supply,2030,11411.5,-0.119465945,weo
stated policies scenario,world,oil,total energy supply,2040,11247.9,-0.103416816,weo
